Name	Value
mapreduce.jobtracker.address	local
dfs.namenode.resource.check.interval	5000
hadoop.security.group.mapping.ldap.posix.attr.uid.name	uidNumber
mapreduce.jobhistory.client.thread-count	10
yarn.application.classpath	$HADOOP_CONF_DIR, $HADOOP_COMMON_HOME/*,$HADOOP_COMMON_HOME/lib/*, $HADOOP_HDFS_HOME/*,$HADOOP_HDFS_HOME/lib/*, $HADOOP_MAPRED_HOME/*,$HADOOP_MAPRED_HOME/lib/*, $HADOOP_YARN_HOME/*,$HADOOP_YARN_HOME/lib/*, /usr/lib/hadoop-lzo/lib/*, /usr/share/aws/emr/emrfs/conf, /usr/share/aws/emr/emrfs/lib/*, /usr/share/aws/emr/emrfs/auxlib/*, /usr/share/aws/emr/lib/*, /usr/share/aws/emr/ddb/lib/emr-ddb-hadoop.jar, /usr/share/aws/emr/goodies/lib/emr-hadoop-goodies.jar, /usr/share/aws/emr/kinesis/lib/emr-kinesis-hadoop.jar, /usr/lib/spark/yarn/lib/datanucleus-api-jdo.jar, /usr/lib/spark/yarn/lib/datanucleus-core.jar, /usr/lib/spark/yarn/lib/datanucleus-rdbms.jar, /usr/share/aws/emr/cloudwatch-sink/lib/*, /usr/share/aws/aws-java-sdk/*
yarn.admin.acl	*
hadoop.proxyuser.presto.hosts	*
yarn.app.mapreduce.am.job.committer.cancel-timeout	60000
mapreduce.job.emit-timeline-data	false
dfs.journalnode.rpc-address	0.0.0.0:8485
yarn.resourcemanager.leveldb-state-store.path	${hadoop.tmp.dir}/yarn/system/rmstore
mapred.mapper.new-api	false
ipc.client.connection.maxidletime	10000
yarn.nodemanager.process-kill-wait.ms	2000
yarn.minicluster.use-rpc	false
io.map.index.interval	128
dfs.namenode.https-address	ip-192-168-27-182.ec2.internal:50470
dfs.mover.max-no-move-interval	60000
mapreduce.task.profile.reduces	0-2
fs.s3n.multipart.uploads.enabled	true
hadoop.util.hash.type	murmur
dfs.namenode.replication.min	1
yarn.app.mapreduce.am.jhs.backup-dir	file:///var/log/hadoop-mapreduce/history
fs.s3a.path.style.access	false
dfs.namenode.fs-limits.min-block-size	1048576
fs.AbstractFileSystem.file.impl	org.apache.hadoop.fs.local.LocalFs
net.topology.script.number.args	100
yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs	86400
mapreduce.map.output.compress.codec	org.apache.hadoop.io.compress.SnappyCodec
yarn.nodemanager.windows-container.memory-limit.enabled	false
mapreduce.input.fileinputformat.split.minsize	0
hadoop.security.group.mapping	org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
mapreduce.jobtracker.system.dir	${hadoop.tmp.dir}/mapred/system
mapreduce.job.end-notification.max.attempts	5
mapreduce.reduce.speculative	true
yarn.nodemanager.localizer.cache.cleanup.interval-ms	600000
yarn.nodemanager.node-labels.resync-interval-ms	120000
yarn.timeline-service.leveldb-timeline-store.start-time-read-cache-size	10000
dfs.namenode.replication.interval	3
yarn.resourcemanager.admin.address	${yarn.resourcemanager.hostname}:8033
mapreduce.job.maps	10
mapreduce.job.ubertask.enable	false
yarn.timeline-service.entity-group-fs-store.retain-seconds	604800
dfs.client.use.datanode.hostname	false
mapreduce.am.max-attempts	2
yarn.nodemanager.amrmproxy.enable	false
yarn.resourcemanager.zk-num-retries	1000
s3.blocksize	67108864
dfs.datanode.data.dir	/mnt/hdfs
mapreduce.reduce.shuffle.parallelcopies	20
adl.feature.ownerandgroup.enableupn	false
fs.s3.buffer.dir	/mnt/s3
mapreduce.job.finish-when-all-reducers-done	false
hadoop.registry.zk.retry.ceiling.ms	60000
dfs.datanode.data.dir.perm	700
yarn.nodemanager.env-whitelist	JAVA_HOME,HADOOP_COMMON_HOME,HADOOP_HDFS_HOME,HADOOP_CONF_DIR,CLASSPATH_PREPEND_DISTCACHE,HADOOP_YARN_HOME
dfs.namenode.xattrs.enabled	true
dfs.datanode.transfer.socket.send.buffer.size	0
dfs.datanode.bp-ready.timeout	20
yarn.app.mapreduce.client.job.max-retries	0
yarn.nodemanager.linux-container-executor.cgroups.hierarchy	/hadoop-yarn
yarn.resourcemanager.recovery.enabled	false
yarn.app.mapreduce.am.container.log.backups	0
yarn.nodemanager.disk-health-checker.interval-ms	120000
tmparchives	hdfs://ip-192-168-27-182.ec2.internal:8020/user/hadoop/tmp/mrjob/domainrank.hadoop.20180920.092428.447818/files/domainrank_ccmr.tar.gz#domainrank_ccmr.tar.gz
dfs.namenode.list.cache.directives.num.responses	100
yarn.nodemanager.node-labels.provider.fetch-interval-ms	600000
fs.s3a.max.total.tasks	5
mapreduce.reduce.maxattempts	4
mapreduce.shuffle.port	13562
yarn.resourcemanager.resource-tracker.client.thread-count	64
dfs.namenode.replication.considerLoad	true
yarn.resourcemanager.webapp.cross-origin.enabled	false
yarn.nodemanager.delete.thread-count	4
yarn.nodemanager.admin-env	MALLOC_ARENA_MAX=$MALLOC_ARENA_MAX
yarn.resourcemanager.proxy-user-privileges.enabled	false
mapreduce.job.speculative.speculative-cap-total-tasks	0.01
mapreduce.job.speculative.slowtaskthreshold	1.0
ftp.replication	3
yarn.sharedcache.cleaner.initial-delay-mins	10
s3native.client-write-packet-size	65536
file.bytes-per-checksum	512
dfs.datanode.slow.io.warning.threshold.ms	300
rpc.engine.org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolPB	org.apache.hadoop.ipc.ProtobufRpcEngine
mapreduce.task.skip.start.attempts	2
hadoop.security.dns.log-slow-lookups.threshold.ms	1000
dfs.namenode.reject-unresolved-dn-topology-mapping	false
yarn.timeline-service.entity-group-fs-store.leveldb-cache-read-cache-size	10485760
yarn.sharedcache.admin.address	0.0.0.0:8047
mapreduce.job.jvm.numtasks	20
dfs.namenode.top.num.users	10
yarn.nodemanager.linux-container-executor.cgroups.mount	false
yarn.sharedcache.checksum.algo.impl	org.apache.hadoop.yarn.sharedcache.ChecksumSHA256Impl
mapreduce.job.classloader	false
yarn.log-aggregation-enable	true
mapreduce.reduce.shuffle.fetch.retry.interval-ms	1000
yarn.resourcemanager.nodemanager.minimum.version	NONE
hadoop.proxyuser.hue.groups	*
hadoop.security.kms.client.encrypted.key.cache.size	500
mapreduce.output.fileoutputformat.compress.type	BLOCK
hadoop.hdfs.configuration.version	1
yarn.nodemanager.log.retain-seconds	10800
yarn.timeline-service.entity-group-fs-store.done-dir	/tmp/entity-file-history/done/
yarn.nodemanager.local-cache.max-files-per-directory	8192
mapreduce.job.end-notification.retry.interval	1000
ha.failover-controller.new-active.rpc-timeout.ms	60000
hadoop.ssl.hostname.verifier	DEFAULT
dfs.client.read.shortcircuit	false
s3native.blocksize	67108864
dfs.client.failover.sleep.base.millis	500
dfs.permissions.superusergroup	hadoop
hadoop.registry.zk.retry.times	5
dfs.client.socket.send.buffer.size	0
dfs.blockreport.initialDelay	0
yarn.scheduler.maximum-allocation-mb	2048
mapreduce.task.io.sort.factor	48
dfs.client.failover.sleep.max.millis	15000
fs.s3.sleepTimeSeconds	10
yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs	86400
yarn.nodemanager.log.deletion-threads-count	4
ha.health-monitor.rpc-timeout.ms	45000
yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users	true
fs.AbstractFileSystem.viewfs.impl	org.apache.hadoop.fs.viewfs.ViewFs
fs.ftp.host	0.0.0.0
fs.adl.oauth2.access.token.provider.type	ClientCredential
yarn.web-proxy.address	ip-192-168-27-182.ec2.internal:20888
yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user	nobody
yarn.timeline-service.entity-group-fs-store.active-dir	/tmp/entity-file-history/active
fs.s3a.impl	org.apache.hadoop.fs.s3a.S3AFileSystem
dfs.namenode.fs-limits.max-blocks-per-file	1048576
mapreduce.tasktracker.http.threads	60
yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs	86400
yarn.resourcemanager.delegation.key.update-interval	86400000
yarn.nodemanager.webapp.https.address	0.0.0.0:8044
dfs.namenode.hosts.provider.classname	org.apache.hadoop.hdfs.server.blockmanagement.HostFileManager
dfs.balancer.keytab.enabled	false
dfs.namenode.lifeline.handler.ratio	0.10
io.compression.codec.bzip2.library	system-native
mapreduce.map.skip.maxrecords	0
ipc.ping.interval	60000
mapreduce.jobhistory.loadedjobs.cache.size	5
dfs.storage.policy.enabled	true
mapreduce.client.output.filter	FAILED
yarn.nodemanager.resource.count-logical-processors-as-cores	false
yarn.nodemanager.resource.system-reserved-memory-mb	-1
yarn.timeline-service.client.best-effort	false
dfs.datanode.block-pinning.enabled	false
yarn.resourcemanager.webapp.delegation-token-auth-filter.enabled	true
mapreduce.job.speculative.retry-after-no-speculate	1000
s3native.stream-buffer-size	4096
io.seqfile.local.dir	${hadoop.tmp.dir}/io/local
dfs.encrypt.data.transfer.cipher.key.bitlength	128
dfs.datanode.sync.behind.writes	false
yarn.app.mapreduce.am.log.level	INFO
mapreduce.job.application.attempt.id	1
dfs.namenode.stale.datanode.interval	30000
mapreduce.task.io.sort.mb	200
